Key,Value/CheatCode,Value/CheatEffect,Value/Option1,Value/Option2
Gamiginhair,Gamiginhair,EPBCheatCommandType::AddItem,Gamiginhair,1
Glashtynhair,Glashtynhair,EPBCheatCommandType::AddItem,Glashtynhair,1
ManeLion,ManeLion,EPBCheatCommandType::AddItem,ManeLion,1
Marbasmane,Marbasmane,EPBCheatCommandType::AddItem,Marbasmane,1
MonsterBirdHair,MonsterBirdHair,EPBCheatCommandType::AddItem,MonsterBirdHair,1
ThunderbirdFeathers,ThunderbirdFeathers,EPBCheatCommandType::AddItem,ThunderbirdFeathers,1
WindFeathers,WindFeathers,EPBCheatCommandType::AddItem,WindFeathers,1
Haagentifeather,Haagentifeather,EPBCheatCommandType::AddItem,Haagentifeather,1
BatFeather,BatFeather,EPBCheatCommandType::AddItem,BatFeather,1
Toadwing,Toadwing,EPBCheatCommandType::AddItem,Toadwing,1
Gaapwing,Gaapwing,EPBCheatCommandType::AddItem,Gaapwing,1
Giantrattail,Giantrattail,EPBCheatCommandType::AddItem,Giantrattail,1
DevilRoyalTail,DevilRoyalTail,EPBCheatCommandType::AddItem,DevilRoyalTail,1
Lilimtail,Lilimtail,EPBCheatCommandType::AddItem,Lilimtail,1
Lamastutail,Lamastutail,EPBCheatCommandType::AddItem,Lamastutail,1
Lilimear,Lilimear,EPBCheatCommandType::AddItem,Lilimear,1
Dineseawing,Dineseawing,EPBCheatCommandType::AddItem,Dineseawing,1
Tytaniawing,Tytaniawing,EPBCheatCommandType::AddItem,Tytaniawing,1
FairyPowder,FairyPowder,EPBCheatCommandType::AddItem,FairyPowder,1
TytaniaPoisonedNeedle,TytaniaPoisonedNeedle,EPBCheatCommandType::AddItem,TytaniaPoisonedNeedle,1
Dragonscales,Dragonscales,EPBCheatCommandType::AddItem,Dragonscales,1
Abyssguardianbastard,Abyssguardianbastard,EPBCheatCommandType::AddItem,Abyssguardianbastard,1
DemonCloth,DemonCloth,EPBCheatCommandType::AddItem,DemonCloth,1
Assasincloth,Assasincloth,EPBCheatCommandType::AddItem,Assasincloth,1
Lerajecloth,Lerajecloth,EPBCheatCommandType::AddItem,Lerajecloth,1
Ninjacloth,Ninjacloth,EPBCheatCommandType::AddItem,Ninjacloth,1
DemonDogSkin,DemonDogSkin,EPBCheatCommandType::AddItem,DemonDogSkin,1
MonkeyFur,MonkeyFur,EPBCheatCommandType::AddItem,MonkeyFur,1
Buerfur,Buerfur,EPBCheatCommandType::AddItem,Buerfur,1
Wolfmanfur,Wolfmanfur,EPBCheatCommandType::AddItem,Wolfmanfur,1
Decarabialeather,Decarabialeather,EPBCheatCommandType::AddItem,Decarabialeather,1
DevilBookLeather,DevilBookLeather,EPBCheatCommandType::AddItem,DevilBookLeather,1
Decimaleather,Decimaleather,EPBCheatCommandType::AddItem,Decimaleather,1
Silverwolffur,Silverwolffur,EPBCheatCommandType::AddItem,Silverwolffur,1
Gusionfur,Gusionfur,EPBCheatCommandType::AddItem,Gusionfur,1
Poisontoadeye,Poisontoadeye,EPBCheatCommandType::AddItem,Poisontoadeye,1
Evileye,Evileye,EPBCheatCommandType::AddItem,Evileye,1
SeekerEye,SeekerEye,EPBCheatCommandType::AddItem,SeekerEye,1
DevilRoyalEyeball,DevilRoyalEyeball,EPBCheatCommandType::AddItem,DevilRoyalEyeball,1
ToadHeart,ToadHeart,EPBCheatCommandType::AddItem,ToadHeart,1
BelialHeart,BelialHeart,EPBCheatCommandType::AddItem,BelialHeart,1
EligosHeart,EligosHeart,EPBCheatCommandType::AddItem,EligosHeart,1
AbyssguardianHeart,AbyssguardianHeart,EPBCheatCommandType::AddItem,AbyssguardianHeart,1
MurmurHeart,MurmurHeart,EPBCheatCommandType::AddItem,MurmurHeart,1
Toadfluid,Toadfluid,EPBCheatCommandType::AddItem,Toadfluid,1
Misteriousfluid,Misteriousfluid,EPBCheatCommandType::AddItem,Misteriousfluid,1
SwingTentacle,SwingTentacle,EPBCheatCommandType::AddItem,SwingTentacle,1
Bloodsteel,Bloodsteel,EPBCheatCommandType::AddItem,Bloodsteel,1
Ceruleansplash,Ceruleansplash,EPBCheatCommandType::AddItem,Ceruleansplash,1
Raginggirl,Raginggirl,EPBCheatCommandType::AddItem,Raginggirl,1
Headfail,Headfail,EPBCheatCommandType::AddItem,Headfail,1
SummonAme,SummonAme,EPBCheatCommandType::AddItem,SummonAme,1
SummonButt,SummonButt,EPBCheatCommandType::AddItem,SummonButt,1
SummonApe,SummonApe,EPBCheatCommandType::AddItem,SummonApe,1
SummonGilemund,SummonGilemund,EPBCheatCommandType::AddItem,SummonGilemund,1
Shovelshooter,Shovelshooter,EPBCheatCommandType::AddItem,Shovelshooter,1
SamonSamHiggin,SamonSamHiggin,EPBCheatCommandType::AddItem,SamonSamHiggin,1
SummonBuell,SummonBuell,EPBCheatCommandType::AddItem,SummonBuell,1
SummonBugs,SummonBugs,EPBCheatCommandType::AddItem,SummonBugs,1
SummonChair,SummonChair,EPBCheatCommandType::AddItem,SummonChair,1
SummonTracer,SummonTracer,EPBCheatCommandType::AddItem,SummonTracer,1
HiddenDart,HiddenDart,EPBCheatCommandType::AddItem,HiddenDart,1
RapidSpear,RapidSpear,EPBCheatCommandType::AddItem,RapidSpear,1
Deadhowling,Deadhowling,EPBCheatCommandType::AddItem,Deadhowling,1
DragonicRage,DragonicRage,EPBCheatCommandType::AddItem,DragonicRage,1
AxStrike,AxStrike,EPBCheatCommandType::AddItem,AxStrike,1
GratefulAssist,GratefulAssist,EPBCheatCommandType::AddItem,GratefulAssist,1
Upbeatheat,Upbeatheat,EPBCheatCommandType::AddItem,Upbeatheat,1
Toxicstorm,Toxicstorm,EPBCheatCommandType::AddItem,Toxicstorm,1
ThrowAxe,ThrowAxe,EPBCheatCommandType::AddItem,ThrowAxe,1
EntangleBind,EntangleBind,EPBCheatCommandType::AddItem,EntangleBind,1
Jackpot,Jackpot,EPBCheatCommandType::AddItem,Jackpot,1
LigaStreyma,LigaStreyma,EPBCheatCommandType::AddItem,LigaStreyma,1
VaIsha,VaIsha,EPBCheatCommandType::AddItem,VaIsha,1
VaSka,VaSka,EPBCheatCommandType::AddItem,VaSka,1
TepsSalenda,TepsSalenda,EPBCheatCommandType::AddItem,TepsSalenda,1
TissLeif,TissLeif,EPBCheatCommandType::AddItem,TissLeif,1
NeverSatisfied,NeverSatisfied,EPBCheatCommandType::AddItem,NeverSatisfied,1
Zombie8Bit,Zombie8Bit,EPBCheatCommandType::AddItem,Zombie8Bit,1
Ghost8Bit,Ghost8Bit,EPBCheatCommandType::AddItem,Ghost8Bit,1
Nightmare8Bit,Nightmare8Bit,EPBCheatCommandType::AddItem,Nightmare8Bit,1
HellHound,HellHound,EPBCheatCommandType::AddItem,HellHound,1
SummonRat,SummonRat,EPBCheatCommandType::AddItem,SummonRat,1
Demoniccapture,Demoniccapture,EPBCheatCommandType::AddItem,Demoniccapture,1
Shadowtracer,Shadowtracer,EPBCheatCommandType::AddItem,Shadowtracer,1
AccelWorld,AccelWorld,EPBCheatCommandType::AddItem,AccelWorld,1
Accelerator,Accelerator,EPBCheatCommandType::AddItem,Accelerator,1
Beastguard,Beastguard,EPBCheatCommandType::AddItem,Beastguard,1
WildScratch,WildScratch,EPBCheatCommandType::AddItem,WildScratch,1
Healing,Healing,EPBCheatCommandType::AddItem,Healing,1
Sacredshade,Sacredshade,EPBCheatCommandType::AddItem,Sacredshade,1
ChangeBunny,ChangeBunny,EPBCheatCommandType::AddItem,ChangeBunny,1
Reflectionray,Reflectionray,EPBCheatCommandType::AddItem,Reflectionray,1
Aquastream,Aquastream,EPBCheatCommandType::AddItem,Aquastream,1
Dimensionshift,Dimensionshift,EPBCheatCommandType::AddItem,Dimensionshift,1
InfernoBrace,InfernoBrace,EPBCheatCommandType::AddItem,InfernoBrace,1
Hammerknuckle,Hammerknuckle,EPBCheatCommandType::AddItem,Hammerknuckle,1
GoldBarrett,GoldBarrett,EPBCheatCommandType::AddItem,GoldBarrett,1
FireCannon,FireCannon,EPBCheatCommandType::AddItem,FireCannon,1
BoonsLore,BoonsLore,EPBCheatCommandType::AddItem,BoonsLore,1
Releasetoade,Releasetoade,EPBCheatCommandType::AddItem,Releasetoade,1
StraightArrow,StraightArrow,EPBCheatCommandType::AddItem,StraightArrow,1
CircleRipper,CircleRipper,EPBCheatCommandType::AddItem,CircleRipper,1
ShootingDagger,ShootingDagger,EPBCheatCommandType::AddItem,ShootingDagger,1
Voidlay,Voidlay,EPBCheatCommandType::AddItem,Voidlay,1
ChaseArrow,ChaseArrow,EPBCheatCommandType::AddItem,ChaseArrow,1
CurseDray,CurseDray,EPBCheatCommandType::AddItem,CurseDray,1
Petrey,Petrey,EPBCheatCommandType::AddItem,Petrey,1
Acidgouache,Acidgouache,EPBCheatCommandType::AddItem,Acidgouache,1
PetraBless,PetraBless,EPBCheatCommandType::AddItem,PetraBless,1
Venomsmog,Venomsmog,EPBCheatCommandType::AddItem,Venomsmog,1
HelleTicalGrinder,HelleTicalGrinder,EPBCheatCommandType::AddItem,HelleTicalGrinder,1
Chiselbalage,Chiselbalage,EPBCheatCommandType::AddItem,Chiselbalage,1
BaudRideBlast,BaudRideBlast,EPBCheatCommandType::AddItem,BaudRideBlast,1
Tornadoslicer,Tornadoslicer,EPBCheatCommandType::AddItem,Tornadoslicer,1
Aimingshield,Aimingshield,EPBCheatCommandType::AddItem,Aimingshield,1
RuinBeak,RuinBeak,EPBCheatCommandType::AddItem,RuinBeak,1
LigaDoin,LigaDoin,EPBCheatCommandType::AddItem,LigaDoin,1
TepesOsius,TepesOsius,EPBCheatCommandType::AddItem,TepesOsius,1
TissRosain,TissRosain,EPBCheatCommandType::AddItem,TissRosain,1
FoldShiu,FoldShiu,EPBCheatCommandType::AddItem,FoldShiu,1
FoldingTurb,FoldingTurb,EPBCheatCommandType::AddItem,FoldingTurb,1
FireThrower,FireThrower,EPBCheatCommandType::AddItem,FireThrower,1
SummonYorkton,SummonYorkton,EPBCheatCommandType::AddItem,SummonYorkton,1
EightBitFire,EightBitFire,EPBCheatCommandType::AddItem,EightBitFire,1
KnifeMastery,KnifeMastery,EPBCheatCommandType::AddItem,KnifeMastery,1
SwordMastery,SwordMastery,EPBCheatCommandType::AddItem,SwordMastery,1
WhipMastery,WhipMastery,EPBCheatCommandType::AddItem,WhipMastery,1
CraftMastery,CraftMastery,EPBCheatCommandType::AddItem,CraftMastery,1
KickMastery,KickMastery,EPBCheatCommandType::AddItem,KickMastery,1
SpearMastery,SpearMastery,EPBCheatCommandType::AddItem,SpearMastery,1
GunMastery,GunMastery,EPBCheatCommandType::AddItem,GunMastery,1
GreatSwordMastery,GreatSwordMastery,EPBCheatCommandType::AddItem,GreatSwordMastery,1
JapanSwordMastery,JapanSwordMastery,EPBCheatCommandType::AddItem,JapanSwordMastery,1
STREnhance,STREnhance,EPBCheatCommandType::AddItem,STREnhance,1
CONEnhance,CONEnhance,EPBCheatCommandType::AddItem,CONEnhance,1
INTEnhance,INTEnhance,EPBCheatCommandType::AddItem,INTEnhance,1
MNDEnhance,MNDEnhance,EPBCheatCommandType::AddItem,MNDEnhance,1
LUKEnhance,LUKEnhance,EPBCheatCommandType::AddItem,LUKEnhance,1
EnhancedGOLD,EnhancedGOLD,EPBCheatCommandType::AddItem,EnhancedGOLD,1
Resistedge,Resistedge,EPBCheatCommandType::AddItem,Resistedge,1
Resistthrust,Resistthrust,EPBCheatCommandType::AddItem,Resistthrust,1
ResistBrow,ResistBrow,EPBCheatCommandType::AddItem,ResistBrow,1
ResistFire,ResistFire,EPBCheatCommandType::AddItem,ResistFire,1
Resistice,Resistice,EPBCheatCommandType::AddItem,Resistice,1
ResistThunder,ResistThunder,EPBCheatCommandType::AddItem,ResistThunder,1
Resistdark,Resistdark,EPBCheatCommandType::AddItem,Resistdark,1
ResistHorley,ResistHorley,EPBCheatCommandType::AddItem,ResistHorley,1
Resistmagic,Resistmagic,EPBCheatCommandType::AddItem,Resistmagic,1
ResistPoison,ResistPoison,EPBCheatCommandType::AddItem,ResistPoison,1
Resistcurse,Resistcurse,EPBCheatCommandType::AddItem,Resistcurse,1
ResistPetri,ResistPetri,EPBCheatCommandType::AddItem,ResistPetri,1
optimizer,optimizer,EPBCheatCommandType::AddItem,optimizer,1
Detectiveeye,Detectiveeye,EPBCheatCommandType::AddItem,Detectiveeye,1
Submariner,Submariner,EPBCheatCommandType::AddItem,Submariner,1
RedDowther,RedDowther,EPBCheatCommandType::AddItem,RedDowther,1
LuckyDrop,LuckyDrop,EPBCheatCommandType::AddItem,LuckyDrop,1
Wisdomwords,Wisdomwords,EPBCheatCommandType::AddItem,Wisdomwords,1
Regeneration,Regeneration,EPBCheatCommandType::AddItem,Regeneration,1
Moneyispower,Moneyispower,EPBCheatCommandType::AddItem,Moneyispower,1
drain,drain,EPBCheatCommandType::AddItem,drain,1
FamiliaSilverKnight,FamiliaSilverKnight,EPBCheatCommandType::AddItem,FamiliaSilverKnight,1
FamiliaCarabos,FamiliaCarabos,EPBCheatCommandType::AddItem,FamiliaCarabos,1
SummonDurahanMaHead,SummonDurahanMaHead,EPBCheatCommandType::AddItem,SummonDurahanMaHead,1
FamiliaBuell,FamiliaBuell,EPBCheatCommandType::AddItem,FamiliaBuell,1
FamiliaDantalion,FamiliaDantalion,EPBCheatCommandType::AddItem,FamiliaDantalion,1
FamiliaBradBringer,FamiliaBradBringer,EPBCheatCommandType::AddItem,FamiliaBradBringer,1
Doublejump,Doublejump,EPBCheatCommandType::AddItem,Doublejump,1
Invert,Invert,EPBCheatCommandType::AddItem,Invert,1
Deepsinker,Deepsinker,EPBCheatCommandType::AddItem,Deepsinker,1
HighJump,HighJump,EPBCheatCommandType::AddItem,HighJump,1
Shortcut,Shortcut,EPBCheatCommandType::AddItem,Shortcut,1
SkilledSTREnhance,SkilledSTREnhance,EPBCheatCommandType::AddItem,SkilledSTREnhance,1
SkilledCONEnhance,SkilledCONEnhance,EPBCheatCommandType::AddItem,SkilledCONEnhance,1
SkilledINTEnhance,SkilledINTEnhance,EPBCheatCommandType::AddItem,SkilledINTEnhance,1
SkilledMNDEnhance,SkilledMNDEnhance,EPBCheatCommandType::AddItem,SkilledMNDEnhance,1
SkilledLUKEnhance,SkilledLUKEnhance,EPBCheatCommandType::AddItem,SkilledLUKEnhance,1
SkilledEnhancedGOLD,SkilledEnhancedGOLD,EPBCheatCommandType::AddItem,SkilledEnhancedGOLD,1
SkilledKickMastery,SkilledKickMastery,EPBCheatCommandType::AddItem,SkilledKickMastery,1
SkilledKnifeMastery,SkilledKnifeMastery,EPBCheatCommandType::AddItem,SkilledKnifeMastery,1
SkilledSwordMastery,SkilledSwordMastery,EPBCheatCommandType::AddItem,SkilledSwordMastery,1
SkilledSpearMastery,SkilledSpearMastery,EPBCheatCommandType::AddItem,SkilledSpearMastery,1
SkilledWhipMastery,SkilledWhipMastery,EPBCheatCommandType::AddItem,SkilledWhipMastery,1
SkilledGunMastery,SkilledGunMastery,EPBCheatCommandType::AddItem,SkilledGunMastery,1
SkilledGreatSwordMastery,SkilledGreatSwordMastery,EPBCheatCommandType::AddItem,SkilledGreatSwordMastery,1
SkilledJapanSwordMastery,SkilledJapanSwordMastery,EPBCheatCommandType::AddItem,SkilledJapanSwordMastery,1
SkilledCraftMastery,SkilledCraftMastery,EPBCheatCommandType::AddItem,SkilledCraftMastery,1
SkilledResistedge,SkilledResistedge,EPBCheatCommandType::AddItem,SkilledResistedge,1
SkilledResistthrust,SkilledResistthrust,EPBCheatCommandType::AddItem,SkilledResistthrust,1
SkilledResistBrow,SkilledResistBrow,EPBCheatCommandType::AddItem,SkilledResistBrow,1
SkilledResistFire,SkilledResistFire,EPBCheatCommandType::AddItem,SkilledResistFire,1
SkilledResistice,SkilledResistice,EPBCheatCommandType::AddItem,SkilledResistice,1
SkilledResistThunder,SkilledResistThunder,EPBCheatCommandType::AddItem,SkilledResistThunder,1
SkilledResistHorley,SkilledResistHorley,EPBCheatCommandType::AddItem,SkilledResistHorley,1
SkilledResistdark,SkilledResistdark,EPBCheatCommandType::AddItem,SkilledResistdark,1
SkilledResistPoison,SkilledResistPoison,EPBCheatCommandType::AddItem,SkilledResistPoison,1
SkilledResistcurse,SkilledResistcurse,EPBCheatCommandType::AddItem,SkilledResistcurse,1
SkilledResistPetri,SkilledResistPetri,EPBCheatCommandType::AddItem,SkilledResistPetri,1
SkilledResistmagic,SkilledResistmagic,EPBCheatCommandType::AddItem,SkilledResistmagic,1
SkilledMoneyispower,SkilledMoneyispower,EPBCheatCommandType::AddItem,SkilledMoneyispower,1
SkilledRedDowther,SkilledRedDowther,EPBCheatCommandType::AddItem,SkilledRedDowther,1
SkilledLuckyDrop,SkilledLuckyDrop,EPBCheatCommandType::AddItem,SkilledLuckyDrop,1
Skilledoptimizer,Skilledoptimizer,EPBCheatCommandType::AddItem,Skilledoptimizer,1
SkilledWisdomwords,SkilledWisdomwords,EPBCheatCommandType::AddItem,SkilledWisdomwords,1
SkilledRegeneration,SkilledRegeneration,EPBCheatCommandType::AddItem,SkilledRegeneration,1
SkilledSubmariner,SkilledSubmariner,EPBCheatCommandType::AddItem,SkilledSubmariner,1
Skilleddrain,Skilleddrain,EPBCheatCommandType::AddItem,Skilleddrain,1
SkilledDetectiveeye,SkilledDetectiveeye,EPBCheatCommandType::AddItem,SkilledDetectiveeye,1
2Potion,2Potion,EPBCheatCommandType::AddItem,Potion,2
2HighPotion,2HighPotion,EPBCheatCommandType::AddItem,HighPotion,2
2ExPotion,2ExPotion,EPBCheatCommandType::AddItem,ExPotion,2
2Ether,2Ether,EPBCheatCommandType::AddItem,Ether,2
2HighEther,2HighEther,EPBCheatCommandType::AddItem,HighEther,2
2ExEther,2ExEther,EPBCheatCommandType::AddItem,ExEther,2
2Mithridate,2Mithridate,EPBCheatCommandType::AddItem,Mithridate,2
2HolyWater,2HolyWater,EPBCheatCommandType::AddItem,HolyWater,2
2Stonethaw,2Stonethaw,EPBCheatCommandType::AddItem,Stonethaw,2
2Poison,2Poison,EPBCheatCommandType::AddItem,Poison,2
2Waystone,2Waystone,EPBCheatCommandType::AddItem,Waystone,2
2Panacea,2Panacea,EPBCheatCommandType::AddItem,Panacea,2
2FaerieMedicine,2FaerieMedicine,EPBCheatCommandType::AddItem,FaerieMedicine,2
2FaerieElixir,2FaerieElixir,EPBCheatCommandType::AddItem,FaerieElixir,2
2FaerieAllheal,2FaerieAllheal,EPBCheatCommandType::AddItem,FaerieAllheal,2
2FaeriePanacea,2FaeriePanacea,EPBCheatCommandType::AddItem,FaeriePanacea,2
2Alkhahest,2Alkhahest,EPBCheatCommandType::AddItem,Alkhahest,2
2Sulfur,2Sulfur,EPBCheatCommandType::AddItem,Sulfur,2
2Saltpeter,2Saltpeter,EPBCheatCommandType::AddItem,Saltpeter,2
2Mercury,2Mercury,EPBCheatCommandType::AddItem,Mercury,2
2Sulfate,2Sulfate,EPBCheatCommandType::AddItem,Sulfate,2
2Gunpowder,2Gunpowder,EPBCheatCommandType::AddItem,Gunpowder,2
2Ectoplasm,2Ectoplasm,EPBCheatCommandType::AddItem,Ectoplasm,2
2Bronze,2Bronze,EPBCheatCommandType::AddItem,Bronze,2
2Iron,2Iron,EPBCheatCommandType::AddItem,Iron,2
2Obsidian,2Obsidian,EPBCheatCommandType::AddItem,Obsidian,2
2Steel,2Steel,EPBCheatCommandType::AddItem,Steel,2
2Silver,2Silver,EPBCheatCommandType::AddItem,Silver,2
2DamascusSteel,2DamascusSteel,EPBCheatCommandType::AddItem,DamascusSteel,2
2Mithril,2Mithril,EPBCheatCommandType::AddItem,Mithril,2
2Platinum,2Platinum,EPBCheatCommandType::AddItem,Platinum,2
2Clystal,2Clystal,EPBCheatCommandType::AddItem,Clystal,2
2Gold,2Gold,EPBCheatCommandType::AddItem,Gold,2
2Hihiirokane,2Hihiirokane,EPBCheatCommandType::AddItem,Hihiirokane,2
2Orichalcum,2Orichalcum,EPBCheatCommandType::AddItem,Orichalcum,2
2Hemp,2Hemp,EPBCheatCommandType::AddItem,Hemp,2
2Cotton,2Cotton,EPBCheatCommandType::AddItem,Cotton,2
2Felt,2Felt,EPBCheatCommandType::AddItem,Felt,2
2Silk,2Silk,EPBCheatCommandType::AddItem,Silk,2
2Leather,2Leather,EPBCheatCommandType::AddItem,Leather,2
2Halite,2Halite,EPBCheatCommandType::AddItem,Halite,2
2ElmLumber,2ElmLumber,EPBCheatCommandType::AddItem,ElmLumber,2
2OakLumber,2OakLumber,EPBCheatCommandType::AddItem,OakLumber,2
2WalnutLumber,2WalnutLumber,EPBCheatCommandType::AddItem,WalnutLumber,2
2MahoganyLumber,2MahoganyLumber,EPBCheatCommandType::AddItem,MahoganyLumber,2
2CypressLumber,2CypressLumber,EPBCheatCommandType::AddItem,CypressLumber,2
2Ruby,2Ruby,EPBCheatCommandType::AddItem,Ruby,2
2Sapphire,2Sapphire,EPBCheatCommandType::AddItem,Sapphire,2
2Emerald,2Emerald,EPBCheatCommandType::AddItem,Emerald,2
2Diamond,2Diamond,EPBCheatCommandType::AddItem,Diamond,2
2Bixbite,2Bixbite,EPBCheatCommandType::AddItem,Bixbite,2
2Alexandrite,2Alexandrite,EPBCheatCommandType::AddItem,Alexandrite,2
28BitCoin,28BitCoin,EPBCheatCommandType::AddItem,8BitCoin,2
216BitCoin,216BitCoin,EPBCheatCommandType::AddItem,16BitCoin,2
232BitCoin,232BitCoin,EPBCheatCommandType::AddItem,32BitCoin,2
2MaxHPUP,2MaxHPUP,EPBCheatCommandType::AddItem,MaxHPUP,2
2MaxMPUP,2MaxMPUP,EPBCheatCommandType::AddItem,MaxMPUP,2
2MaxBulletUP,2MaxBulletUP,EPBCheatCommandType::AddItem,MaxBulletUP,2
2HPFullRecovery,2HPFullRecovery,EPBCheatCommandType::AddItem,HPFullRecovery,2
2MPFullRecovery,2MPFullRecovery,EPBCheatCommandType::AddItem,MPFullRecovery,2
2KungFuShoes,2KungFuShoes,EPBCheatCommandType::AddItem,KungFuShoes,2
2BattleBoots,2BattleBoots,EPBCheatCommandType::AddItem,BattleBoots,2
2KillerBoots,2KillerBoots,EPBCheatCommandType::AddItem,KillerBoots,2
2Toyshoes,2Toyshoes,EPBCheatCommandType::AddItem,Toyshoes,2
2Assaultsollette,2Assaultsollette,EPBCheatCommandType::AddItem,Assaultsollette,2
2Rabbitboots,2Rabbitboots,EPBCheatCommandType::AddItem,Rabbitboots,2
2Dragonshoes,2Dragonshoes,EPBCheatCommandType::AddItem,Dragonshoes,2
2Hermesshoes,2Hermesshoes,EPBCheatCommandType::AddItem,Hermesshoes,2
2Decapitator,2Decapitator,EPBCheatCommandType::AddItem,Decapitator,2
2CoolShoesOfMrNarita,2CoolShoesOfMrNarita,EPBCheatCommandType::AddItem,CoolShoesOfMrNarita,2
2CoolShoesOfMrNarita2,2CoolShoesOfMrNarita2,EPBCheatCommandType::AddItem,CoolShoesOfMrNarita2,2
2CoolShoesOfMrNarita3,2CoolShoesOfMrNarita3,EPBCheatCommandType::AddItem,CoolShoesOfMrNarita3,2
2IceSlewShoes,2IceSlewShoes,EPBCheatCommandType::AddItem,IceSlewShoes,2
2IceSlewShoes2,2IceSlewShoes2,EPBCheatCommandType::AddItem,IceSlewShoes2,2
2IceSlewShoes3,2IceSlewShoes3,EPBCheatCommandType::AddItem,IceSlewShoes3,2
2PoisonSpikeShoes,2PoisonSpikeShoes,EPBCheatCommandType::AddItem,PoisonSpikeShoes,2
2PoisonSpikeShoes2,2PoisonSpikeShoes2,EPBCheatCommandType::AddItem,PoisonSpikeShoes2,2
2PoisonSpikeShoes3,2PoisonSpikeShoes3,EPBCheatCommandType::AddItem,PoisonSpikeShoes3,2
2Knife,2Knife,EPBCheatCommandType::AddItem,Knife,2
2Baselard,2Baselard,EPBCheatCommandType::AddItem,Baselard,2
2Kukuri,2Kukuri,EPBCheatCommandType::AddItem,Kukuri,2
2PoisonKukri,2PoisonKukri,EPBCheatCommandType::AddItem,PoisonKukri,2
2Swordbreaker,2Swordbreaker,EPBCheatCommandType::AddItem,Swordbreaker,2
2ManGauche,2ManGauche,EPBCheatCommandType::AddItem,ManGauche,2
2Calnwenan,2Calnwenan,EPBCheatCommandType::AddItem,Calnwenan,2
2Mandaupasar,2Mandaupasar,EPBCheatCommandType::AddItem,Mandaupasar,2
2Rapier,2Rapier,EPBCheatCommandType::AddItem,Rapier,2
2Epe,2Epe,EPBCheatCommandType::AddItem,Epe,2
2Stinger,2Stinger,EPBCheatCommandType::AddItem,Stinger,2
2Miserikorde,2Miserikorde,EPBCheatCommandType::AddItem,Miserikorde,2
2Cazilk,2Cazilk,EPBCheatCommandType::AddItem,Cazilk,2
2Juwuse,2Juwuse,EPBCheatCommandType::AddItem,Juwuse,2
2CrystalSword,2CrystalSword,EPBCheatCommandType::AddItem,CrystalSword,2
2CrystalSword2,2CrystalSword2,EPBCheatCommandType::AddItem,CrystalSword2,2
2CrystalSword3,2CrystalSword3,EPBCheatCommandType::AddItem,CrystalSword3,2
2ShortSword,2ShortSword,EPBCheatCommandType::AddItem,ShortSword,2
2LongSword,2LongSword,EPBCheatCommandType::AddItem,LongSword,2
2WolfBalt,2WolfBalt,EPBCheatCommandType::AddItem,WolfBalt,2
2Halper,2Halper,EPBCheatCommandType::AddItem,Halper,2
2invisible,2invisible,EPBCheatCommandType::AddItem,invisible,2
2Mulgres,2Mulgres,EPBCheatCommandType::AddItem,Mulgres,2
2Redumbrella,2Redumbrella,EPBCheatCommandType::AddItem,Redumbrella,2
2Burtgang,2Burtgang,EPBCheatCommandType::AddItem,Burtgang,2
2Flagarach,2Flagarach,EPBCheatCommandType::AddItem,Flagarach,2
2Hoffdo,2Hoffdo,EPBCheatCommandType::AddItem,Hoffdo,2
2Dineslave,2Dineslave,EPBCheatCommandType::AddItem,Dineslave,2
2Florenberg,2Florenberg,EPBCheatCommandType::AddItem,Florenberg,2
2Armas,2Armas,EPBCheatCommandType::AddItem,Armas,2
2Caradoborg,2Caradoborg,EPBCheatCommandType::AddItem,Caradoborg,2
2Liddyl,2Liddyl,EPBCheatCommandType::AddItem,Liddyl,2
2HuntedBrad,2HuntedBrad,EPBCheatCommandType::AddItem,HuntedBrad,2
2Broadsword,2Broadsword,EPBCheatCommandType::AddItem,Broadsword,2
2SwordWhip,2SwordWhip,EPBCheatCommandType::AddItem,SwordWhip,2
2BradBlingerLv1,2BradBlingerLv1,EPBCheatCommandType::AddItem,BradBlingerLv1,2
2ShieldWeapon,2ShieldWeapon,EPBCheatCommandType::AddItem,ShieldWeapon,2
2ShieldWeapon2,2ShieldWeapon2,EPBCheatCommandType::AddItem,ShieldWeapon2,2
2ShieldWeapon3,2ShieldWeapon3,EPBCheatCommandType::AddItem,ShieldWeapon3,2
2XrossBrade,2XrossBrade,EPBCheatCommandType::AddItem,XrossBrade,2
2XrossBrade2,2XrossBrade2,EPBCheatCommandType::AddItem,XrossBrade2,2
2XrossBrade3,2XrossBrade3,EPBCheatCommandType::AddItem,XrossBrade3,2
2BradeOfEU,2BradeOfEU,EPBCheatCommandType::AddItem,BradeOfEU,2
2BradeOfEU2,2BradeOfEU2,EPBCheatCommandType::AddItem,BradeOfEU2,2
2BradeOfEU3,2BradeOfEU3,EPBCheatCommandType::AddItem,BradeOfEU3,2
2LightSaber,2LightSaber,EPBCheatCommandType::AddItem,LightSaber,2
2LightSaber2,2LightSaber2,EPBCheatCommandType::AddItem,LightSaber2,2
2LightSaber3,2LightSaber3,EPBCheatCommandType::AddItem,LightSaber3,2
2JodoSwordLight,2JodoSwordLight,EPBCheatCommandType::AddItem,JodoSwordLight,2
2JodoSwordLight2,2JodoSwordLight2,EPBCheatCommandType::AddItem,JodoSwordLight2,2
